MWSC,Name,Type_n_Type,RAhour,RA,DEC,GLON,GLAT,r0,r1,r2,pmRA,pmDE,e_pm,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,rc,e_rc,rt,e_rt,k,e_k,Src,SType,[Fe/H],e_[Fe/H],o_[Fe/H]
41,Berkeley_2,-,0.4211,6.31649985909462,60.382,119.696,-2.328,0.018,0.04,0.1,1.07,-2.68,0.49,999.99,99.99,0,12,29,108,5499.0,0.899,13.991,0.432,0.288,0.0,8.98,0.033,9,1.75,0.37,20.1,4.51,1.89,0.36,DIAS,-,99.999,9.99,-
42,FSR_0494,-,0.428,6.420000046491623,63.75,120.084,1.018,0.02,0.095,0.165,-2.97,-2.66,0.22,999.99,99.99,0,9,118,245,5087.0,0.521,13.7,0.25,0.167,-0.01,9.3,0.0,-1,2.86,0.54,22.66,4.47,1.71,0.21,DIAS,irc,99.999,9.99,-
44,FSR_0496,-,0.445,6.674999892711639,64.03,120.223,1.285,0.018,0.075,0.17,-0.29,-2.48,0.29,999.99,99.99,0,8,62,235,1123.0,0.77,10.5,0.37,0.247,0.0,9.055,0.049,3,1.84,0.47,5.19,0.94,19.39,5.62,DIAS,irc,99.999,9.99,-
45,NGC_110,-,0.457,6.85499981045723,71.422,120.996,8.637,0.02,0.065,0.115,2.75,3.78,0.51,999.99,99.99,0,4,23,46,1600.0,0.65,11.23,0.312,0.208,0.0,8.97,0.0,-1,0.62,0.24,5.86,2.26,4.37,1.5,DIAS,dub,99.999,9.99,-
46,SAI_6,-,0.4652,6.978000104427338,60.677,120.049,-2.066,0.02,0.065,0.12,-0.3,-1.36,0.46,-47.0,3.7,1,7,37,109,3100.0,0.899,12.746,0.432,0.288,0.0,8.7,0.061,5,1.19,0.38,13.63,4.87,2.0,0.53,DIAS,-,99.999,9.99,-
48,FSR_0481,-,0.4823,7.234500199556351,43.279,118.586,-19.406,0.01,0.05,0.11,3.5,1.31,0.66,999.99,99.99,0,3,11,23,2164.0,0.385,11.8,0.185,0.123,0.0,9.1,0.0,-1,0.5,0.14,8.14,2.58,11.92,3.63,FPOS,-,99.999,9.99,-
51,FSR_0503,-,0.4905,7.357500046491623,68.894,120.938,6.104,0.035,0.06,0.14,0.53,1.02,0.42,999.99,99.99,0,15,26,119,4701.0,0.799,13.618,0.384,0.256,0.01,9.18,0.0,-1,2.75,0.62,22.25,5.24,0.92,0.15,FPOS,-,99.999,9.99,-
52,Stock_21,-,0.5041,7.561500370502472,57.931,120.107,-4.828,0.02,0.07,0.155,-1.07,-2.76,0.33,999.99,99.99,0,6,42,168,1700.0,0.416,11.286,0.2,0.133,-0.022,8.825,0.0,-1,0.64,0.26,7.36,3.31,6.82,2.21,COCD,-,99.999,9.99,-
53,NGC_129,-,0.5028,7.541999816894531,60.203,120.285,-2.563,0.02,0.09,0.155,-2.2,-1.16,0.25,-38.03,0.82,5,7,93,240,1685.0,0.541,11.307,0.26,0.173,-0.01,7.975,0.0,-1,2.29,0.41,7.26,0.99,9.05,1.58,COCD,-,99.999,9.99,-
55,NGC_133,-,0.5213,7.819500267505646,63.345,120.668,0.559,0.015,0.035,0.08,-1.92,-1.17,0.66,999.99,99.99,0,5,12,45,1861.0,0.625,11.55,0.3,0.2,-0.035,7.3,0.0,-1,0.29,0.11,3.69,1.48,20.05,8.27,DIAS,-,99.999,9.99,-
56,NGC_136,-,0.5267,7.900500297546387,61.51,120.563,-1.274,0.015,0.055,0.125,0.31,-1.16,0.51,999.99,99.99,0,5,26,77,3519.0,0.833,13.0,0.4,0.267,0.0,8.4,0.0,-1,0.95,0.23,14.74,3.86,4.08,1.07,DIAS,-,99.999,9.99,-
57,King_14,-,0.5343,8.014500439167023,63.181,120.743,0.388,0.017,0.09,0.14,-3.75,-1.55,0.22,999.99,99.99,0,7,95,188,2600.0,0.6,12.268,0.288,0.192,-0.01,7.7,0.0,-1,1.19,0.22,10.97,2.15,8.23,1.12,DIAS,-,99.999,9.99,-
58,King_15,-,0.5466,8.198999762535095,61.89,120.733,-0.905,0.025,0.05,0.095,-3.27,-0.31,0.73,999.99,99.99,0,6,14,27,5500.0,0.7,13.927,0.336,0.224,0.0,8.4,0.0,-1,1.9,0.72,16.81,6.89,0.82,0.21,DIAS,-,0.07,9.99,-
59,NGC_146,-,0.5484,8.225999772548676,63.305,120.847,0.505,0.025,0.06,0.16,-4.17,-2.23,0.41,999.99,99.99,0,8,34,205,2800.0,0.6,12.429,0.288,0.192,0.0,7.701,0.214,3,2.17,0.45,12.71,2.59,4.72,0.47,COCD,-,99.999,9.99,-
62,NGC_189,-,0.658,9.869999885559082,61.115,121.483,-1.726,0.017,0.045,0.12,-0.31,-2.71,0.6,999.99,99.99,0,5,17,82,1300.0,0.7,10.795,0.336,0.224,0.0,8.709,0.047,4,0.87,0.21,3.85,0.76,12.29,2.2,DIAS,-,99.999,9.99,-
63,Stock_24,-,0.6627,9.94049996137619,61.965,121.555,-0.879,0.02,0.06,0.145,-1.66,1.3,0.39,999.99,99.99,0,5,29,129,2400.0,0.55,12.078,0.264,0.176,0.0,7.985,0.0,1,1.26,0.25,9.2,1.95,9.27,1.12,DIAS,-,99.999,9.99,-
65,Dolidze_12,-,0.6795,10.19249975681305,60.855,121.628,-1.993,0.02,0.08,0.13,-0.72,-0.99,0.33,999.99,99.99,0,7,44,112,4000.0,0.5,13.171,0.24,0.16,0.0,9.135,0.022,14,2.56,0.65,19.56,5.16,0.79,0.14,DREM,ast,99.999,9.99,-
66,FSR_0508,-,0.6982,10.472999811172485,64.956,121.917,2.1,0.012,0.035,0.055,2.23,-0.07,0.55,999.99,99.99,0,5,22,41,5053.0,1.499,14.0,0.72,0.48,-0.01,6.67,0.0,-1,1.23,0.28,7.52,1.57,4.93,0.81,DIAS,irc,99.999,9.99,-
67,Dias_1,-,0.7102,10.653000175952911,64.06,121.962,1.202,0.02,0.06,0.14,-0.86,1.33,0.29,999.99,99.99,0,12,52,165,2186.0,0.937,12.0,0.45,0.3,0.01,7.9,0.0,-1,0.67,0.17,9.06,2.58,12.64,2.88,DIAS,-,99.999,9.99,-
68,NGC_225,-,0.72,10.800000429153442,61.782,121.953,-1.077,0.02,0.07,0.18,-3.09,-0.75,0.41,-28.0,99.99,1,3,29,155,850.0,0.6,9.84,0.288,0.192,-0.02,8.191,0.058,2,0.26,0.14,3.58,2.08,14.0,7.76,COCD,-,99.999,9.99,-
69,Czernik_2,-,0.7283,10.92449963092804,60.152,121.963,-2.708,0.02,0.045,0.11,-0.71,-1.0,0.44,999.99,99.99,0,6,28,92,4500.0,0.5,13.427,0.24,0.16,0.01,9.123,0.036,6,1.25,0.35,18.31,5.72,2.13,0.58,DIAS,-,99.999,9.99,-
70,King_16,-,0.731,10.965000092983246,64.18,122.102,1.317,0.02,0.065,0.13,-0.66,1.58,0.34,999.99,99.99,0,9,45,124,2325.0,0.833,12.1,0.4,0.267,0.0,7.8,0.0,-1,0.8,0.15,10.53,2.16,11.82,2.11,DIAS,-,99.999,9.99,-
71,FSR_0507,-,0.734,11.01000040769577,52.36,121.778,-10.498,0.02,0.075,0.15,-5.26,0.37,0.42,999.99,99.99,0,3,25,69,2203.0,0.885,12.0,0.425,0.283,0.01,9.0,0.0,-1,2.17,0.69,7.78,1.8,1.29,0.34,FPOS,-,99.999,9.99,-
73,Berkeley_4,-,0.7512,11.268000304698944,64.382,122.239,1.516,0.03,0.09,0.17,-0.23,1.01,0.31,999.99,99.99,0,16,69,176,3300.0,0.7,12.818,0.336,0.224,-0.01,7.3,0.0,-1,1.76,0.32,17.16,3.41,3.97,0.54,COCD,-,99.999,9.99,-
74,NGC_188,-,0.79,11.850000321865082,85.255,122.839,22.381,0.035,0.295,0.57,0.15,-1.43,0.11,-45.0,2.13,21,30,402,724,2000.0,0.085,11.533,0.041,0.027,-0.015,9.65,0.0,-1,2.36,0.24,22.86,2.5,15.59,1.02,DIAS,-,-0.01,0.09,-
75,Berkeley_61,-,0.8053,12.079499959945679,67.193,122.624,4.32,0.025,0.06,0.1,-1.95,0.98,0.62,999.99,99.99,0,6,17,51,2153.0,1.041,12.0,0.5,0.333,-0.01,8.985,0.015,2,1.4,0.47,4.24,0.69,2.84,0.68,DIAS,-,99.999,9.99,-
76,Dolidze_13,-,0.834,12.509999871253967,64.091,122.775,1.216,0.02,0.055,0.11,-1.49,2.45,0.52,999.99,99.99,0,5,25,58,2400.0,0.35,12.014,0.168,0.112,-0.01,8.962,0.04,2,0.43,0.2,8.74,4.63,6.71,3.57,DIAS,dub,99.999,9.99,-
77,FSR_0515,-,0.8455,12.682499885559082,54.765,122.823,-8.11,0.012,0.051,0.085,-4.27,-2.34,0.55,999.99,99.99,0,2,19,33,2362.0,0.416,12.0,0.2,0.133,0.0,9.275,0.0,-1,1.12,0.21,7.25,1.32,6.72,0.9,FPOS,-,99.999,9.99,-
78,FSR_0516,-,0.8425,12.637499570846558,65.965,122.837,3.09,0.018,0.085,0.17,-1.8,-0.45,0.58,999.99,99.99,0,2,16,65,810.0,2.04,10.199,0.98,0.654,0.05,8.83,0.052,4,1.54,0.33,4.83,0.78,15.03,3.15,DIAS,irc,99.999,9.99,-
79,King_2,-,0.8488,12.732000052928925,58.201,122.859,-4.674,0.02,0.05,0.1,-1.71,-0.08,0.6,-144.25,5.92,7,2,15,53,5499.0,0.3,13.798,0.144,0.096,0.0,9.67,0.0,-1,4.27,1.34,12.16,2.62,0.92,0.31,DIAS,-,-0.42,0.09,-
