Cluster,RA,DEC,GAL_L,GAL_B,R_Sun,DR_Sun,R_GC,DR_GC,Mass,DMass,V_mag,DV_mag,M/L_V,DM/L_V,rc,rh_l,rh_m,rt,rho_c,rho_h_m,RV,ERV,sig0,mualpha,emualpha,mu_delta,emudelta,rhopmrad,sig_c,sig_h_m,Trh,MF,F_REM,vesc,etac,etah,A_Rot,DA_Rot,P_Rot,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,ERPERI,RAPO,ERAPO,[Fe/H],E(B-V),V_HB,V_t,M_V_t,U-B,B-V,V-R,V-I,spt,ellip,v_r,ev_r,v_LSR,sig_v,esig_v,c,coll,r_c,r_h
NGC_104,6.02379,-72.08131,305.895,-44.889,4.52,0.03,7.52,0.01,895000.0,5850.0,4.08,0.06,1.96,0.09,0.79,3.64,6.3,126.8,4.37,2.65,-17.45,0.16,11.9,5.252,0.021,-2.551,0.021,-0.0,4.63,3.65,9.73,-0.83,0.44,47.5,-0.37,-0.04,5.0,0.32,100.0,6.3,0.01,-2.59,0.02,-3.19,0.02,77.52,0.42,170.92,0.39,45.95,0.34,5.47,0.02,7.51,0.0,-0.72,0.04,14.06,3.95,-9.42,0.37,0.88,0.53,1.14,G4,0.09,-18.0,0.1,-26.7,11.0,0.3,2.07,,0.36,3.17
NGC_288,13.1885,-26.58261,151.285,-89.38,8.99,0.09,12.21,0.06,93400.0,2580.0,8.1,0.06,2.16,0.1,3.59,5.83,8.37,94.86,1.8,1.28,-44.45,0.13,3.1,4.164,0.024,-5.705,0.024,0.01,2.76,2.43,9.47,-0.52,0.49,10.8,-0.22,-0.09,0.42,0.32,84.3,8.26,0.0,0.05,0.0,-8.99,0.09,4.47,1.02,-48.52,1.03,50.29,0.13,2.03,0.11,12.34,0.06,-1.32,0.03,15.44,8.09,-6.75,0.08,0.65,0.45,0.94,,,-45.4,0.2,-51.9,2.9,0.3,0.99,,1.35,2.23
NGC_362,15.80942,-70.84878,301.533,-46.247,8.83,0.1,9.62,0.06,284000.0,4240.0,6.48,0.05,1.44,0.05,0.4,2.19,3.79,91.96,4.67,2.8,223.12,0.28,8.6,6.694,0.025,-2.535,0.024,0.0,4.65,3.58,9.16,-0.54,0.55,31.5,-0.26,-0.11,0.51,0.56,53.0,4.98,0.03,-5.2,0.06,-6.38,0.07,93.47,0.96,-98.41,0.83,-67.86,0.73,0.73,0.07,11.86,0.15,-1.26,0.05,15.44,6.4,-8.43,0.16,0.77,0.49,1.01,F9,0.01,223.5,0.5,214.0,6.4,0.3,1.76,c:,0.18,0.82
Whiting_1,30.7375,-3.25278,161.618,-60.636,30.59,1.17,35.15,1.11,1970.0,393.0,14.62,0.09,0.5,0.11,2.45,9.5,15.49,48.59,0.25,-1.19,-130.41,1.79,0.4,-0.228,0.065,-2.046,0.056,0.03,1.06,0.19,9.18,0.01,0.45,1.3,-0.21,-0.03,,,,22.41,0.54,4.73,0.18,-26.66,1.02,-247.27,8.04,28.46,8.59,-8.92,4.5,21.58,1.96,61.96,5.64,-0.7,0.03,18.18,15.03,-2.46,,,,,,,-130.6,1.8,-138.1,,,0.55,,0.25,0.22
NGC_1261,48.06754,-55.21622,270.539,-52.124,16.4,0.19,18.28,0.17,182000.0,2960.0,8.31,0.05,1.63,0.07,0.88,3.25,5.23,140.39,3.78,2.19,71.34,0.21,5.7,1.596,0.025,-2.064,0.025,0.01,4.0,3.11,9.3,-0.64,0.53,21.8,-0.34,-0.12,0.9,0.64,86.9,8.08,0.0,-10.07,0.12,-12.95,0.15,-78.94,1.94,57.67,1.54,68.7,1.2,1.48,0.09,21.09,0.22,-1.27,0.01,16.7,8.29,-7.8,0.13,0.72,0.45,0.93,F7,0.07,68.2,4.6,54.9,,,1.16,,0.35,0.68
Pal_1,53.3335,79.58105,130.065,19.028,11.18,0.32,17.41,0.29,1030.0,204.0,13.95,0.05,2.4,0.48,0.69,1.8,3.56,23.78,1.68,0.46,-75.72,0.29,0.5,-0.252,0.034,0.007,0.037,0.08,1.94,1.21,7.89,-0.16,0.46,1.9,-0.3,-0.1,,,,14.98,0.2,8.09,0.23,3.64,0.11,-63.79,1.53,206.36,1.27,-24.84,1.82,14.71,0.29,19.02,0.41,-0.65,0.15,16.4,13.18,-2.52,,0.96,,,,0.22,-82.8,3.3,-76.2,,,2.57,,0.01,0.46
AM_1,58.75959,-49.61528,258.361,-48.471,118.91,3.4,120.27,3.28,19200.0,3840.0,15.07,0.06,0.81,0.17,6.56,14.91,19.86,266.24,0.22,-0.5,118.0,14.14,0.9,0.291,0.107,-0.177,0.086,-0.22,1.45,1.01,9.63,1.76,0.74,3.3,-0.15,-0.01,,,,24.08,0.45,-77.21,2.2,-89.01,2.54,-18.96,50.26,29.5,44.65,41.43,41.02,21.05,14.41,125.68,4.16,-1.7,0.0,21.0,15.72,-4.73,,0.72,,,,,116.0,20.0,101.3,,,1.36,,0.17,0.41
Eridanus,66.18561,-21.18678,218.106,-41.332,84.68,2.89,89.76,2.78,11600.0,2310.0,15.02,0.05,0.92,0.19,6.83,13.75,17.91,169.17,0.02,-0.62,-23.15,0.73,0.7,0.51,0.039,-0.301,0.041,-0.09,1.25,0.86,9.48,1.08,0.72,2.6,-0.14,-0.01,,,,58.21,1.71,-39.24,1.34,-55.93,1.91,-53.31,13.12,58.62,14.15,140.4,11.69,14.17,4.45,120.26,4.23,-1.43,0.02,20.42,14.7,-5.13,,0.79,,,,,-23.6,2.1,-39.1,,,1.1,,0.25,0.46
Pal_2,71.52462,31.3815,170.53,-9.072,26.17,1.28,34.19,1.25,231000.0,96500.0,12.64,0.07,1.32,0.56,1.63,4.82,8.06,161.79,2.96,1.73,-135.97,1.55,5.1,1.045,0.034,-1.522,0.031,0.04,3.56,2.84,9.67,-0.86,0.27,19.6,-0.36,-0.04,,,,33.67,1.25,4.25,0.21,-4.13,0.2,-109.23,1.79,4.61,3.94,8.22,4.04,1.28,0.51,38.87,1.32,-1.42,1.24,21.6,13.04,-7.97,1.83,2.08,,2.65,,0.05,-133.0,57.0,-140.1,,,1.53,,0.17,0.5
NGC_1851,78.52816,-40.04655,244.513,-35.036,11.95,0.13,16.69,0.11,318000.0,4240.0,7.07,0.06,1.66,0.06,0.08,1.75,2.9,127.09,6.25,3.19,321.4,1.55,11.0,2.145,0.024,-0.65,0.024,-0.02,5.54,3.85,8.95,-0.41,0.56,45.7,-0.41,-0.11,0.45,0.42,71.2,12.39,0.05,-8.83,0.1,-6.86,0.08,82.56,1.39,-67.96,1.47,-82.87,1.42,0.85,0.05,19.93,0.18,-1.18,0.02,16.09,7.14,-8.33,0.17,0.76,0.49,1.01,F7,0.05,320.5,0.6,303.8,10.4,0.5,1.86,,0.09,0.51
NGC_1904,81.04584,-24.52442,227.23,-29.35,13.08,0.18,19.09,0.16,139000.0,10700.0,7.94,0.06,1.39,0.12,0.42,2.51,3.21,65.68,4.49,2.7,205.76,0.2,6.5,2.469,0.025,-1.594,0.025,-0.0,4.44,3.4,8.81,0.32,0.7,26.2,-0.37,-0.07,2.24,0.46,100.0,15.92,0.11,-8.37,0.12,-6.41,0.09,43.97,1.26,-17.01,1.19,5.45,1.35,0.56,0.1,19.48,0.17,-1.6,0.01,16.15,7.73,-7.86,0.06,0.65,0.44,0.91,F5,0.01,205.8,0.4,189.0,5.3,0.4,1.7,c:,0.16,0.65
NGC_2298,102.24754,-36.00531,245.629,-16.006,9.83,0.17,15.07,0.14,55800.0,7520.0,9.06,0.05,1.91,0.26,0.53,2.4,3.31,74.71,3.7,2.27,147.15,0.57,3.9,3.32,0.025,-2.175,0.026,0.01,3.83,2.99,8.65,0.06,0.73,15.7,-0.34,-0.11,,,,12.08,0.07,-8.61,0.15,-2.71,0.05,-79.52,1.12,34.21,0.76,67.49,1.16,1.1,0.11,16.44,0.19,-1.92,0.14,16.11,9.29,-6.31,0.17,0.75,0.54,1.11,F5,0.08,148.9,1.2,132.0,,,1.38,,0.31,0.98
NGC_2419,114.53529,38.88194,180.37,25.241,88.47,2.4,95.93,2.33,971000.0,146000.0,10.56,0.06,1.99,0.31,8.08,19.69,26.5,829.02,1.67,0.8,-21.1,0.31,5.7,0.007,0.028,-0.523,0.026,0.03,2.96,2.43,10.63,-0.37,0.57,20.5,-0.15,0.01,,,,88.2,2.17,-0.52,0.01,37.73,1.03,-7.81,4.93,40.2,11.1,-52.1,10.43,14.64,3.6,96.99,2.61,-2.15,0.08,20.31,10.41,-9.42,0.07,0.66,,1.05,F5,0.03,-20.2,0.5,-25.2,4.0,0.6,1.37,,0.32,0.89
Pyxis,136.9869,-37.2266,261.321,6.992,36.53,0.66,38.61,0.62,24600.0,4100.0,13.2,0.06,1.84,0.31,13.36,17.04,22.83,121.56,-0.33,-0.61,40.46,0.21,1.0,1.03,0.032,0.138,0.035,0.03,1.19,1.0,9.9,-0.58,0.47,3.2,-0.07,-0.06,,,,13.65,0.1,-35.84,0.64,4.45,0.08,-108.45,5.68,215.03,1.18,159.49,5.7,18.38,0.97,95.06,4.23,-1.2,0.21,19.25,12.9,-5.73,,,,,,,34.3,1.9,20.7,,,,,,
NGC_2808,138.01291,-64.86349,282.193,-11.253,10.06,0.11,11.58,0.08,864000.0,6100.0,6.14,0.05,1.51,0.06,0.79,2.45,3.89,165.91,4.56,3.24,103.57,0.27,14.1,0.994,0.024,0.273,0.024,-0.01,4.8,4.04,9.37,-0.59,0.51,54.7,-0.35,-0.08,2.25,0.56,100.0,6.09,0.02,-9.64,0.11,-1.96,0.02,-55.99,1.12,149.25,0.42,30.12,1.11,0.98,0.02,14.61,0.12,-1.14,0.22,16.22,6.2,-9.39,0.28,0.92,0.57,1.18,F7,0.12,101.6,0.7,89.2,13.4,1.2,1.56,,0.25,0.8
