col0,ID,RA,dec,Av,DM0,Fe_H,logt,CampaignLength_u,CampaignLength_g,CampaignLength_r,CampaignLength_i,CampaignLength_z,CampaignLength_y,Coaddm5_u,Coaddm5_g,Coaddm5_r,Coaddm5_i,Coaddm5_z,Coaddm5_y,CrowdingM5_u,CrowdingM5_g,CrowdingM5_r,CrowdingM5_i,CrowdingM5_z,CrowdingM5_y,InterNightGaps_u,InterNightGaps_g,InterNightGaps_r,InterNightGaps_i,InterNightGaps_z,InterNightGaps_y,IntraNightGaps_u,IntraNightGaps_g,IntraNightGaps_r,IntraNightGaps_i,IntraNightGaps_z,IntraNightGaps_y,Uniformity_u,Uniformity_g,Uniformity_r,Uniformity_i,Uniformity_z,Uniformity_y,Parallax_u,Parallax_g,Parallax_r,Parallax_i,Parallax_z,Parallax_y,ProperMotion_u,ProperMotion_g,ProperMotion_r,ProperMotion_i,ProperMotion_z,ProperMotion_y,NinGaia,Mtot,Nexpected_u,Nexpected_g,Nexpected_r,Nexpected_i,Nexpected_z,Nexpected_y
0,NGC_7801,0.08249999999999999,50.727,0.4526,11.5,99.999,9.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FSR_0459,0.1275,59.242,3.5495,12.7,99.999,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Stock_18,0.39749999999999996,64.625,0.5487,9.501,99.999,8.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,103.15203833524197,0.0,0.0,0.0,0.0,0.0,0.0
3,Berkeley_59,0.5595,67.42500000000001,3.8471000000000006,10.399,99.999,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,2281.7849577115294,17.686115207222066,0.0,0.0,0.0,0.0,0.0
4,Cep_OB4,0.735,67.5,3.4069,10.001,99.999,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Blanco_1,0.885,-29.999999999999996,0.037200000000000004,6.994,-0.188,7.75,11.0,11.0,11.0,11.0,11.0,11.0,25.82540690968102,26.789775989181162,26.884582973517965,26.281627200453617,25.551222822400806,24.862799331439845,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.859826610096206,21.94225414176617,4.954829255766526,6.978804014521302,7.952375167253194,16.962495733052492,0.015516649524215609,0.010854491614736617,0.03316707018529996,0.032721160183427855,0.19414953020168468,0.5247096139937639,0.14717815349211116,0.14458462759409837,0.15893366949060417,0.16165347837695726,0.16424906255539823,0.09563583487972532,2.3341693858423653,1.8343851051966653,1.1203404141689737,1.2750884109206613,1.7132557490941538,2.529309436451649,0.6368287392391212,0.45516377981403583,0.288312214720384,0.32340266518806976,0.4409467240119858,0.638437221273476,237,339.18941521102863,11.284831844070922,25.880152380601483,82.01600059802672,152.39780425431516,193.37188561180741,218.0309560976492
6,Berkeley_104,0.8520000000000001,63.58,1.8786,12.976,0.07,8.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,962.5914347555286,0.0,0.0,0.0,0.0,0.0,0.0
7,IRAS_00013+6817,0.9960000000000001,68.565,2.5823,10.9,99.999,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,FSR_0504,1.455,81.84000000000002,0.3224,12.9,99.999,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BDB_94,1.6800000000000002,65.629,4.3369,11.602,99.999,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
